Language	Area	Lexifier	First major settlement	End of influence	Conditions of contact	Other languages in contact	Class	Position	Lexifier's Phoneme	Creole's Phoneme	Place Stability	Manner Stability	Example_converted	Reference	Gloss	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Stops	word-medial	p	p	1	1	[t̠ʃiːpa]	Hagemeijer Maurer & Zamora 2020: 321	guts	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Stops	word-initial	b	b	1	1	[bɛga]	Hagemeijer 2019: 772	belly	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Stops	word-medial	b	b	1	1	[kʰabɛ]	Hagemeijer, Maurer & Zamora 2020: 313	hair	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Stops	word-initial	t	t	1	1	[tudu]	Hagemeijer Maurer & Zamora 2020: 321	everything	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Stops	word-medial	t	t	1	1	[mata]	Hagemeijer Maurer & Zamora 2020: 315	to kill	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Stops	word-initial	d	d	1	1	[deve]	Hagemeijer 2019: 768	to owe	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Stops	word-medial	d	d	1	1	[ˈtudu]	Hagemeijer Maurer & Zamora: 321	everything	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Stops	word-initial	k	kʰ	1	0	[kʰabɛ]	Hagemeijer, Maurer & Zamora 2020: 313	hair	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Stops	word-medial	k	kʰ	1	0	[sakʰa]	Hagemeijer, Maurer & Zamora 2020: 319	dry	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Stops	word-initial	g	g	1	1	[goːsu]	Hagemeijer Maurer & Zamora 2020: 311	fat	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Stops	word-medial	g	g	1	1	[bɛga]	Hagemeijer 2019: 772	belly	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Fricatives	word-initial	v	v	1	1	[ˈvɛ]	Hagemeijer 2019: 768	old	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Fricatives	word-medial	v	b	0	0	[laba]	Hagemeijer 2019: 772	to wash	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Fricatives	word-initial	f	f	1	1	[fiju]	Hagemeijer Maurer & Zamora 2020: 310	cold	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Fricatives	word-medial	f							
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Fricatives	word-initial	s	s	1	1	[sũzu]	Hagemeijer Maurer & Zamora 2020: 320	dirty	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Fricatives	word-medial	s	t	1	0	[paːtu]	Hagemeijer Maurer & Zamora 2020: 318	bird	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Fricatives	word-initial	z							
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Fricatives	word-medial	z	z	1	1	[aza]	Hagemeijer Maurer & Zamora 2020: 308	wing	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Fricatives	word-initial	t̠ʃ	s	0	0	[sela]	Hagemeijer, Maurer & Zamora 2020: 320	to smell	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Fricatives	word-medial	t̠ʃ	s	0	0	[basu]	Hagemeijer Maurer & Zamora 2020: 308	lower part	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Fricatives	word-initial	ʒ	z	0	1	[zũta]	Hagemeijer Maurer & Zamora 2020: 323	next to	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Fricatives	word-medial	ʒ	z	0	1	[sũzu]	Hagemeijer Maurer & Zamora 2020: 320	dirty	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Rhotics	word-medial	ɾ	l	1	0	[sela]	Hagemeijer, Maurer & Zamora 2020: 320	to smell	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Rhotics	word-final	ɾ	∅	0	0	[miɛ]	Hagemeijer Maurer & Zamora 2020: 316	woman	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Rhotics	word-initial	r	l	1	0	[labu]	Hagemeijer 2019: 772	tail	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Rhotics	word-medial	r	∅	0	0	[bɛga]	Hagemeijer 2019: 772	belly	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Laterals	word-initial	l	l	1	1	[laba]	Hagemeijer 2019: 772	to wash	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Laterals	word-medial	l	Ø	0	0	[kʰabɛ]	Hagemeijer, Maurer & Zamora 2020: 313	hair	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Laterals	word-final	l	∅	0	0	[sɔ]	Hagemeijer, Maurer & Zamora 2020: 320	sun	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Laterals	word-medial	ʎ	∅	0	0	[miɛ]	Hagemeijer Maurer & Zamora 2020: 316	woman	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Nasals	word-initial	m	m	1	1	[miɛ]	Hagemeijer Maurer & Zamora 2020: 316	woman	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Nasals	word-medial	m	m	1	1	[namu]	Hagemeijer Maurer & Zamora 2020: 316	name	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Nasals	word-initial	n	n	1	1	[namu]	Hagemeijer Maurer & Zamora 2020: 316	name	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Nasals	word-medial	n	n	1	1	[fiˈnĩ]	Granda 1986: 27	funnel	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Nasals	word-medial	ɲ	Ø	0	0	[kʰama]	Hagemeijer Maurer & Zamora 2020: 313	road	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-initial	p	p	1	1	[pɛ̀nθà]	Maurer 2013	to think	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-medial	p	p	1	1	[kapatazi]	Araújo 2010: 17	foreman	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-initial	b	b	1	1	[bɛːga]	Hagemeijer 2019: 772	belly	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-medial	b	b	1	1	[bebe]	Hagemeijer 2019: 772	to drink	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-initial	t	t	1	1	[taba]	Maurer 2013	wood plank	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-medial	t	t	1	1	[latu]	Ferraz 1979: 10	mouse	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-initial	d	r	1	0	[relu]	Araújo 2010: 19	money	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-medial	d	r	1	0	[ˈvira]	Hagemeijer 2019: 768	life	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-initial	k	k	1	1	[kabalu]	Hagemeijer 2019: 772	horse	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-medial	k	k	1	1	[θeku]	Maurer 2013	dry	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-initial	g	g	1	1	[ŋgaȷ̃a]	Araújo 2010: 17	chicken	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-medial	g	g	1	1	[bɛːga]	Hagemeijer 2019: 772	belly	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Fricatives	word-initial	v	b	0	0	[bi]	Araújo 2010: 16	to come	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Fricatives	word-medial	v	b	0	0	[laba]	Hagemeijer 2019: 772	to wash	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Fricatives	word-initial	f	f	1	1	[favolo]	Hagemeijer 2019: 768	favor	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Fricatives	word-medial	f							
