Language,Area,Lexifier,FirstMajorSettlement,EndOfInfluence,ContactConditions,LanguageContact,Class,Position,LexifierPhoneme,CreolePhoneme,PlaceStability,MannerStability,Word,Gloss,Source
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Laterals,word-initial,l,l,1,1,[laˈba],to wash,AraujoHagemeijer2013[57]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Laterals,word-medial,l,l,1,1,[kaˈbelu],hair,AraujoHagemeijer2013[48]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Laterals,word-final,l,l,1,1,[sɔlɔ],sun,AraujoHagemeijer2013[83]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Laterals,word-medial,ʎ,l,0,1,[ˈmwala],woman,AraujoHagemeijer2013[66]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Nasals,word-initial,m,m,1,1,[ˈmwala],woman,AraujoHagemeijer2013[66]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Nasals,word-medial,m,m,1,1,[ˈnɔmi],name,AraujoHagemeijer2013[70]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Nasals,word-initial,n,n,1,1,[ˈnɔmi],name,AraujoHagemeijer2013[70]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Nasals,word-medial,n,n,1,1,[ˈpɛna],feather,AraujoHagemeijer2013[74]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Nasals,word-medial,ɲ,Ø,0,0,[kaˈmja],road,AraujoHagemeijer2013[48]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Stops,word-initial,p,p,1,1,[povu],people,HagemeijerMaurerZamora2020[319]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Stops,word-medial,p,p,1,1,[t̠ʃiːpa],guts,HagemeijerMaurerZamora2020[321]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Stops,word-initial,b,b,1,1,[bɛga],belly,Hagemeijer2019[772]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Stops,word-medial,b,b,1,1,[kʰabɛ],hair,HagemeijerMaurerZamora2020[313]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Stops,word-initial,t,t,1,1,[tudu],everything,HagemeijerMaurerZamora2020[321]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Stops,word-medial,t,t,1,1,[mata],to kill,HagemeijerMaurerZamora2020[315]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Stops,word-initial,d,d,1,1,[deve],to owe,Hagemeijer2019[768]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Stops,word-medial,d,d,1,1,[ˈtudu],everything,HagemeijerMaurerZamora2020[321]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Stops,word-initial,k,kʰ,1,0,[kʰabɛ],hair,HagemeijerMaurerZamora2020[313]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Stops,word-medial,k,kʰ,1,0,[sakʰa],dry,HagemeijerMaurerZamora2020[319]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Stops,word-initial,g,g,1,1,[goːsu],fat,HagemeijerMaurerZamora2020[311]
